Marca temporal,Perfil principal,Edad aproximada,Cantidad de trabajo en el que se necesita uso de pantalla,Carga de trabajo o estudio total durante las últimas semanas,Calidad de sueño: teniendo en cuanta tanto la cantidad como la calidad,Tiempo frente a la pantalla por motivos de estudio o trabajo,Tiempo aproximado frente a pantallas fuera del trabajo o estudio,"Ambiente laboral/estudio: ¿cuánto apoyo sientes por parte de compañeros, familia, profesores o entorno cercano?  ","Durante una jornada normal, ¿cuántas pausas reales de 5–10 minutos haces para desconectar?","Durante las últimas semanas, ¿qué nivel de agotamiento has percibido con respecto a el trabajo/estudio?","Durante las últimas dos semanas, he sentido que me costaba recuperar energía después de estudiar o trabajar.","Agotamiento emocional: Durante las últimas dos semanas, he sentido menos interés o motivación por mis tareas habituales.","Eficacia personal: durante las últimas dos semanas, he sentido que soy capaz de cumplir adecuadamente con mis responsabilidades.","Dificultad para desconectar: ¿Te cuesta desconectar del móvil, correo, campus virtual o herramientas de trabajo fuera de tu horario?",Presión digital externa: ¿Recibes notificaciones relacionadas con estudio/trabajo fuera de tu horario habitual?,¿Te gustaría recibir recomendaciones de desconexión digital si el sistema detecta riesgo moderado o alto?,¿Qué tipo de recomendación te resultaría más útil?
30/04/2026 13:07:58,Trabajador/a,Más de 35,Media(6-8h),Abrumadora,Pobre,Excesivo(>6h),Medio(1-2h),Neutro,Mínimo (2-4),Elevado,Algunas veces,Esporádicamente,Alta,Alta dicultad,Ocasionalmente,Si,Sueño
30/04/2026 13:10:03,Trabajador/a,Más de 35,Baja(<4h),Manejable,Pobre,Escaso(<1h),Alto(2-6h),Neutro,Ningua,Ordinario,A veces,Esporádicamente,Alta,Moderada,Ocasionalmente,No,Sueño
30/04/2026 13:12:27,Trabajador/a,Más de 35,Baja(<4h),Manejable,Aceptable,Escaso(<1h),Medio(1-2h),Neutro,Mínimo (2-4),Ordinario,Algunas veces,Esporádicamente,Alta,Baja difcultad,Raramente,Si,Organización
30/04/2026 13:27:29,Trabajador/a,Más de 35,Baja(<4h),Manejable,Pobre,Escaso(<1h),Medio(1-2h),Mucho,Mínimo (2-4),Ordinario,Algunas veces,Frecuentemente,Moderada,Moderada,Ocasionalmente,Si,Sueño
30/04/2026 14:11:09,Trabajador/a,Más de 35,Media(6-8h),Manejable,Pobre,Alto(2-6h),Alto(2-6h),Neutro,Mínimo (2-4),Elevado,A veces,Esporádicamente,Muy alta,Alta dicultad,Constantemente,Si,Sueño
30/04/2026 14:46:50,Trabajador/a,Más de 35,Alta(>10h),Manejable,Pobre,Excesivo(>6h),Alto(2-6h),Neutro,Mínimo (2-4),Ordinario,Algunas veces,Esporádicamente,Alta,Alta dicultad,Constantemente,Si,Organización
30/04/2026 15:11:50,Trabajador/a,Más de 35,Alta(>10h),Abrumadora,Pobre,Excesivo(>6h),Medio(1-2h),Poco,Mínimo (2-4),Elevado,A veces,Esporádicamente,Alta,Baja difcultad,Raramente,Si,Organización
30/04/2026 15:26:41,Trabajador/a,Más de 35,Baja(<4h),Manejable,Aceptable,Alto(2-6h),Medio(1-2h),Mucho,Ningua,Ordinario,Algunas veces,Escasamente,Alta,Baja difcultad,Raramente,Si,Pausas
30/04/2026 16:05:32,Trabajador/a,Más de 35,Alta(>10h),Manejable,Aceptable,Medio(1-2h),Escaso(<1h),Mucho,Ningua,Elevado,Algunas veces,Escasamente,Alta,Moderada,Ocasionalmente,Si,Organización
30/04/2026 22:28:01,Trabajador/a,Más de 35,Baja(<4h),Abrumadora,Aceptable,Alto(2-6h),Alto(2-6h),Poco,Mínimo (2-4),Elevado,Algunas veces,Esporádicamente,Muy alta,Baja difcultad,Ocasionalmente,Si,Organización
2/05/2026 1:09:38,Estudiante,18–25,Alta(>10h),Manejable,Fantástica(8-10h),Alto(2-6h),Alto(2-6h),Mucho,Bastantes(>4),Ordinario,Algunas veces,Frecuentemente,Moderada,Moderada,Ocasionalmente,Si,Organización
